影城,戲院,戲院海報,介紹,交通方式,地址,連絡電話,
國賓戲院,金門昇恆昌國賓影城,https://www.ambassador.com.tw/images/img/theater/quemoy_banner.png,「金門昇恆昌國賓影城」坐落於金湖鎮金門昇恆昌金湖廣場，有六個數位國際級放映影廳，含無障礙座位共638席，全影廳配置了頂級杜比7.1數位環繞音響，加上超廣角弧形銀幕與寬敞舒適的人體工學座椅，絕對讓金門在地民眾與觀光客，體驗國際級的觀影享受。,,金門縣金湖鎮太湖路二段198號6樓(金門昇恆昌金湖廣場),082-330-287,
美麗華影城,美麗華影城,https://www.miramarcinemas.tw/MiramarRes/5b983681-0b23-4a75-9858-ab12871d6d22.jpg,"美麗華IMAX影廳
2004年美麗華影城斥資2億6,000萬量身打造全台第一座 IMAX 廳，以其頂級的放映技術和舒適的觀影環境而聞名。IMAX將超大銀幕與超高解析度、極致音效結合，旨在為觀眾提供前所未有的視覺與聽覺享受。

銀幕表面經過特殊處理，能夠更精確地反射光線，保證畫面的亮度和清晰度。無論是壯觀的自然景觀還是高速的動作場面，IMAX 銀幕都能呈現出超越想像的細膩和震撼效果，使觀眾感覺彷彿置身於電影之中。



local_activityIMAX 超大銀幕
美麗華IMAX影廳配備了一塊長28公尺、高21公尺的巨大弧形銀幕，這塊銀幕比一般影院的銀幕大上數十倍，能夠完整覆蓋觀眾的視野，提供更加廣闊和沉浸的視覺效果。

銀幕表面經過特殊處理，能夠更精確地反射光線，保證畫面的亮度和清晰度。無論是壯觀的自然景觀還是高速的動作場面，IMAX 銀幕都能呈現出超越想像的細膩和震撼效果，使觀眾感覺彷彿置身於電影之中。




local_activityIMAX 雙機雷射放映技術
美麗華IMAX影廳配置了雙機4K雷射放映系統，特有的光學引擎展現了革命性的放映效果，能夠支援高解析度的影片。IMAX專有的圖像增強器，能自動進行調焦及校準，確保IMAX影片提供更加鮮明的色彩和無與倫比的畫質。

這種技術使得每一幀畫面都達到極致的清晰度和對比度，無論是細微的顏色變化還是黑暗場景中的細節，都能得到完美呈現。這種高精度的畫面表現力讓觀眾在觀影時仿佛身臨其境，感受每一秒的震撼與精彩。



local_activityIMAX 環繞音響系統
廳內配置了最先進的12.1聲道環繞音響系統，這套系統由多個精確校調的揚聲器組成，能夠發出清晰而強勁的音效，覆蓋影廳的每一個角落。

無論是驚心動魄的火山爆發還是細針落地的微小聲音，觀眾都能感受到聲音的層次感和方向感。IMAX 環繞音響系統的獨特設計讓聲音能夠隨畫面變化，精確傳達電影中的每一個音效，讓觀眾聲入其境。




local_activity享譽國際、屢創佳績的首選影廳
美麗華IMAX影廳因特有的銀幕規格，能支援1.43：1畫面比例，這種比例非但是全台獨家，在國際上也是十分罕見的規格。1.43：1的電影畫面相較於常見的 2.39：1 或 1.90：1 的電影畫面，可以收穫超過66%或40%的電影畫面，如實地呈現電影創作者心中最原始的電影內容。在如星際效應、沙丘、奧本海默、獅子王、007：生死交戰等作品中，都為台灣的觀眾們展示了1.43：1的恢弘畫面，展現了電影壯闊且震懾人心的魅力。

在卓越的放映技術、震撼的音響效果、超大銀幕及精心設計的觀影環境下，美麗華IMAX影廳拿下無數次的全國單廳票房冠軍、世界單廳票房前五等輝煌紀錄，更是海外影迷慕名而來、國內影迷觀影唯一指名的首選影廳。",,台北市中山區敬業三路22號6樓,02-8502-2208,
秀泰影城,台北欣欣秀泰,https://capi.showtimes.com.tw/assets/4b/4b1e2a7c-210b-4a6a-b5bf-199a7432a3f8.jpg,"位於台北市區的中山商圈，於2021年重新改裝，大廳以「70年代流金歲月」為主題，運用實木、白色、鈷藍色及金色軟裝呈現出復古與現代的融合風格，並獲得2022年國際設計大獎「Novum Design Award」金獎的殊榮。

並耗資重金與韓國CJ4DPLEX合作，打造全台獨家的「ScreenX 270度沉浸式全景影廳」，ScreenX影廳採用高規格投影技術，將主銀幕延伸成為三面270度全景畫面、將大幅擴大觀眾周邊視野，並結合4K雷射巨幕，打造高約7米，寬約54米的270度超巨幕全景影廳，並同步升級杜比重低音以及環繞音響，將能創造極致震撼的沉浸式觀影體驗。

除了「ScreenX 270度沉浸式全景影廳」外，全影城共建置14座頂級數位影廳，每廳皆使用落地式銀幕、3D放映設備、Christie擴大機、Vive陣列式環繞喇叭；全影城1,503席座椅皆使用秀泰獨家「日本Kotobuki第三代尊榮商務艙雙扶手座椅」，並採用黃金比例打造全面無死角觀影環境，提供影迷們極致舒適的觀影享受。","交通方式
近捷運淡水線/松山線　中山站三號出口。

公車
5、12、26、46、52、266、282、282副、288、288區、292、292副、306、306區、307、604、605快、622、652、棕9、紅25、208、211、246",台北市中山區林森北路247號,(02)2537-1889,
秀泰影城,台北東南亞秀泰,https://capi.showtimes.com.tw/assets/00/002957ef-0d5d-490e-a535-3fc753dccac5.jpg,秀泰影城於104年7月接手營運近50年的原東南亞戲院，透過品牌形象、專業設備、最佳服務…等經營策略，重新改裝後更名為「東南亞秀泰影城」。整體內裝以時尚、簡單精緻風格設計，導入頂級放映設備、舒適的商務艙座椅，於公館商圈打造5星級精品影城，讓看電影除了是生活休閒之外，更是另一種奢華享受！,"交通方式
淡水線/松山線 公館站1號出口

公車
0南、1、109、1501、05、207、208、208區、208直、236、236區、236夜、251、251區、252、253、254、254區、278、278區、280、280直、284、284直、290、311、311區、505、 52、530、606、642、643、644、648、660、668、671、673、675、676、74、907、南軟通勤專車雙和線、小30、懷恩專車S31、敦化幹線、景美-榮總(快) 棕11 棕12 棕22 綠11 藍28",台北市中正區羅斯福路４段136巷3號,(02)2367-8999,
秀泰影城,板橋秀泰,https://capi.showtimes.com.tw/assets/45/45a1a4dd-105a-47f2-864d-b12153dc61ab.jpg,新北首座精品影城。全影城擁有17座全新數位影廳、DepthQR3D系統、其中Atmos廳配備杜比全景聲(Dolby Atmos)音響系統。獨家日式商務艙雙扶手座椅、1：2.3黃金比例影廳、落地超大銀幕，全廳觀影無死角。飯店式服務：全面配備免治馬桶、獨立空氣清淨機及除濕機，使每位購票的客人都能享受相同的品質以及如飯店般的高級設備及服務。,(1)捷運：板橋捷運站1號出口，步行1分鐘 (2)公車：板橋公車站，步行1分鐘 (3)高鐵：高鐵板橋站，北側出口步行5分鐘 (4)鐵路：台鐵板橋站，北側出口步行5分鐘 (5)自行開車：文化路往台北方向行駛時，應右轉新府路，至站前路口右轉直行進麗寶百貨廣場停車場 ◆文化路往板橋方向行駛時，應左轉新站路，至站前路口右轉直行進麗寶百貨廣場停車場。 ◆縣民大道方向行駛時，應由新站/新府路轉彎，至站前路口直行進麗寶百貨廣場停車場。,新北市板橋區縣民大道二段3號,(02)2968-5588,
秀泰影城,樹林秀泰,https://capi.showtimes.com.tw/assets/6a/6a8a117b7ae19ea36fee6f242371e477.jpg,"視覺-完美呈現栩栩如生

秀泰影城斥資超過破億打造北台灣地區最佳觀影環境。新北最大巨型銀幕廳，廳高14米，寬22米，並配備EWD雷射4K放映系統，不論在亮度、色度、對比度都是業界最高的標準，提供您畫面最細膩、色彩最鮮豔、畫質最飽滿的觀影品質。其他的影廳我們也引進了Christie?RDLP高階機型，滿足您的視覺饗宴。


聽覺-層次分明清晰犀利

超越業界、大膽突破就是要給您最聲歷其境的音響感受！12個影廳全面配備Christie?ViveAudioTM陣列式揚聲系統。一體式弧線型陣列揚聲器的優勢在於能完整覆蓋全廳、提供最高的解析度、最真實的音質及高輸出的低頻效果。坐在影廳內的任何位置都能體會到這套設備所呈現的完美無瑕音場效果！


感覺-貼心舒適備受尊榮

全台獨家的日本Kotobuki第三代尊榮商務艙雙扶手座椅，提供您業界最舒適最寬敞的觀影空間。全面配備TOTO免治馬桶，各項貼心設計都要讓您擁有最美好的觀影體驗。","火車：
搭乘火車至「樹林站」下車，自前站鎮前街出口左轉接樹新路，步行6分鐘。

自行開車：
國道北二高土城交流道下，過城林橋沿溪城路接板林路至保安街左轉，到樹新路右轉即可到達。

公車
台北客運843 / 藍44 / 701 / 793 / F501【樹林站】下車即可到達 . 台北客運701 / 702 / 802【濟安宮站】下車，步行1分鐘",新北市樹林區樹新路40-6號,(02)-2686-8769,
秀泰影城,土城秀泰,https://capi.showtimes.com.tw/assets/dd/dd6b0e1a7eef81f09b2ba2523abfb36d.jpg,全影城擁有11座全新影廳、JBL音響系統。獨家日式商務艙雙扶手座椅、1：2.3黃金比例影廳、落地超大銀幕，全廳觀影無死角。飯店式服務：全面配備免治馬桶、獨立空氣清淨機及除濕機，使每位購票的客人都能享受相同的品質以及如飯店般的高級設備及服務。,"自行開車：

由土城區中央路二段61巷進入，並轉入中央路二段21巷後，即可抵達日月光廣場汽機車停車場。

捷運：

捷運板南線至『土城站1號出口』金城路直走至學府路二段路口左轉，步行9分鐘。 捷運板南線至『海山站3號出口』轉搭日月光廣場免費接駁車（6/27起開始營運）。

公車
搭以下各路公車至『員林里』站下車?705、805、812、985、1962、9103、F605、F606路線",新北市土城區學府路二段210號,02-2260-3398,
秀泰影城,台中站前秀泰,https://capi.showtimes.com.tw/assets/a2/a22ea886-8b74-4f17-80ca-fcb3ff78d14f.jpg,"秀泰集團斥資破億，以年輕化的「幾何線條」做為設計語彙，打造一座屬於年輕人的電影流行集散地，並耗資重金與韓國CJ4DPLEX合作，打造全台獨家的「ScreenX 270度沉浸式全景影廳」，ScreenX影廳採用高規格投影技術，將主銀幕延伸成為三面270度全景畫面、將大幅擴大觀眾周邊視野，並結合4K雷射巨幕，打造高約12米，寬約66米的270度超巨幕全景影廳，並同步升級杜比重低音以及環繞音響，將能創造極致震撼的沉浸式觀影體驗。
除了「ScreenX 270度沉浸式全景影廳」外，全影城共建置16座頂級數位影廳，每廳皆採用Christie?DLP高階機型、Christie?ViveAudio陣列式喇叭；全影城2,668席座椅皆使用「日本Kotobuki第三代尊榮商務艙雙扶手座椅」，並採用黃金比例打造全面無死角觀影環境，並擁有符合人體工學的1.2米階深，享有黃金觀影視野，提供影迷們極致舒適的觀影享受。","【大眾運輸】

◎搭乘火車或客運，至台中火車站下車，至火車站承租騎乘機車5分鐘，即可到達台中秀泰廣場站前店

◎搭乘火車或客運，至台中火車站下車，沿著新民街步行，左轉復興路約10分鐘，即可到達台中秀泰廣場站前店

◎搭乘高鐵，至台中高鐵站下車，轉搭33、158、166、6268、6670、6737號公車，45分鐘即可到達台中秀泰廣場站前店


【自行開車】

◎國道1號→大雅交流道下→經台74線往太原方向→右轉自由路4段→左轉南京路→台中秀泰廣場站前店

◎國道3號→霧峰交流道下→經台74線往大里方向→左轉環中東路5段→旱溪西路1段→左轉振興路→右轉東光園路→左轉樂業南路→右轉建成路→左轉南京路→台中秀泰廣場站前店

◎搭乘火車或客運，至台中火車站下車，搭乘11路公車(綠能街車)，即可到達台中秀泰廣場站前店

公車
33、158、166、6268、6670、6737",台中市東區南京路76號,(04)-2211-7988,
秀泰影城,台中文心秀泰,https://capi.showtimes.com.tw/assets/f0/f0123be11fcb158546142d18b415f672.jpg,"為貼近台中西屯及南屯一帶的質感藝文生活，秀泰集團特別斥資億元，以「現代質感」揉合「木質輕奢」，兩種設計語彙為命題，碰撞出令人耳目一新的空間視覺設計。

秀泰集團並耗資重金與韓國CJ4DPLEX合作，打造全台獨家的「ScreenX 270度沉浸式全景影廳」，ScreenX影廳採用高規格投影技術，將主銀幕延伸成為三面270度全景畫面、將大幅擴大觀眾周邊視野，並結合4K雷射巨幕，打造高約12米，寬約66米的270度超巨幕全景影廳，並同步升級杜比重低音以及環繞音響，將能創造極致震撼的沉浸式觀影體驗；另外更與世界頂級名床品牌TEMPUR合作，打造全台唯一的「丹普廳」，特別選用歐洲原裝進口、每張市值超過40萬的TEMPUR丹普電動床組，並設有VIP專屬購票櫃檯與私人Lounge休息區供貴賓在等候電影放映前可充份放鬆，創造最完美奢華的觀影享受。

除了「ScreenX 270度沉浸式全景影廳」及「丹普廳」外，全影城共建置14座頂級數位影廳，每廳皆Christie?DLP高階機型、Christie?ViveAudio陣列式喇叭；全影城2,066席座椅皆使用「日本Kotobuki第三代尊榮商務艙雙扶手座椅」，並採用1：1.85黃金比例，打造全面無死角觀影環境，並擁有符合人體工學的1.2米階深，享有黃金觀影視野，提供影迷們極致舒適的觀影享受。

","台鐵：搭乘台鐵至大慶火車站，至文心南路往豐樂雕塑公園之方向步行20分鐘、騎機車約10分鐘，即可到達秀泰生活台中文心店。

高鐵：搭乘高鐵至烏日高鐵站下車，轉乘台鐵即可抵達大慶火車站。轉搭53（統聯）、73（統聯）、99（中鹿客運）、99延一、99延2、356（順捷交通）至豐樂公園站下車，即可到達秀泰生活台中文心店。

捷運：搭乘捷運至豐樂公園站下車
公車
53（統聯）、73（統聯）、99（中鹿客運）、99延一、99延2、356（捷順交通）至豐樂公園站下車",台中市南屯區文心南路289號7樓8樓,(04)-2473-5989,
秀泰影城,台中麗寶秀泰,https://capi.showtimes.com.tw/assets/8c/8c095eec0f1d2a3bc57acb242787bf9b.jpg,台中麗寶秀泰影城位於麗寶Outlet Mall D區3樓，採用簡潔靜寧的韓風白色系設計，每座影廳皆配備頂級放映設備及全台獨家的日本Kotobuki第三代尊榮商務艙雙扶手座椅，並貼心安裝TOTO免治馬桶，提供顧客舒適完善的觀影空間，打造台中地區休閒娛樂網美打卡新地標。,"高鐵：搭乘高鐵至臺中站下車
● 轉乘接駁車：免費接駁車(須於官網提前預約) 到麗寶樂園，至Outlet MallＤ區3樓
● 轉乘公車：155路公車(搭乘時間約90分鐘以上) 到麗寶樂園，至Outlet MallＤ區3樓

飛機：搭乘飛機至臺中清泉崗機場，轉乘302路公車至台中朝馬國光站，再轉乘免費接駁車到麗寶樂園，至Outlet MallＤ區3樓

火車：搭火車到豐原火車站
● 轉乘公車：時間約30分鐘起，票價約33元，請參考「市區公車」
● 搭特約計程車：計程車上面有麗寶樂園的 LOGO，時間約20分鐘，車資約為450元，請參考「計程車」

火車：搭火車到后里火車站 步行至后里國小前
● 搭乘樂園免費接駁車直達麗寶樂園，至Outlet MallＤ區3樓
● 轉乘公車：155路公車、811路公車直達麗寶樂園麗寶樂園，至Outlet MallＤ區3樓 ● 搭特約計程車：搭火車到后里火車站，轉搭麗寶樂園特約計程車，后里 -麗寶樂園的計程車車資約為250元，麗寶樂園特約計程車可以直接開入園區，不需再另外多付任何費用。請參考「計程車」。

公車
155路公車、811路公車到麗寶樂園，至Outlet MallＤ區3樓",台中市后里區月眉東路二段181號3樓,(04)2558-7180,
